Fish code,Species,Site,Date,Weight (g),Fork length (cm)
D79,Dolly varden,RK14,11/6/93,31.9,14.6
D80,Dolly varden,RK14,11/6/93,10.6,10
D81,Dolly varden,RK14,11/7/93,1.6,6.1
D82,Dolly varden,RT02-BP,11/7/93,12,11
D83,Dolly varden,RT02-BP,11/7/93,6.3,9
D84,Dolly varden,RP06,11/12/93,8.4,9.6
D85,Dolly varden,RP06,11/12/93,13.1,11.1
D86,Dolly varden,RT02-R,11/7/93,14.2,10.5
D87,Dolly varden,RT02-R,11/7/93,7.9,9.1
D88,Dolly varden,RT02-R,11/7/93,3,7.1
D89,Dolly varden,RT03,4/21/93,6.9,9.4
D90,Dolly varden,RK02,4/20/93,18.3,12.9
D91,Dolly varden,RT02,4/19/93,7.5,9.2
D92,Dolly varden,RT02,4/19/93,2.1,6.5
D93,Dolly varden,RP06,4/9/93,11.1,11.1
D94,Dolly varden,RP06,4/9/93,2.7,7.4
D95,Dolly varden,RP06,4/9/93,1.2,5.7
D96,Dolly varden,RK32,10/25/93,2.4,6.4
D97,Dolly varden,RK32,10/25/93,2.1,6
D98,Dolly varden,BP04,10/23/93,19,11.5
D99,Dolly varden,BP04,10/23/93,28.2,14.2
P01,Pink,RT02R,4/20/93,0.2,3.3
P02,Pink,RT02R,4/20/93,0.2,3.3
P03,Pink,RT02R,4/20/93,0.2,3.1
P04,Pink,RT02R,4/20/93,0.2,3.2
P05,Pink,RP02,4/8/93,0.1,3.1
P06,Pink,RT19,5/28/93,0.2,3.2
P07,Pink,RT19,5/28/93,0.1,3
P08,Pink,RP02,5/27/93,0.1,3.2
P09,Pink,RP02,5/25/93,0.1,3
P10,Pink,RP06BP,5/27/93,0.2,3.4
P11,Pink,RP06BP,5/27/93,0.2,3.3
P12,Pink,?,?,0.1,3.2
P13,Pink,RP06,5/29/93,0.1,3.3
P14,Pink,RK09,3/31/93,0.1,3.2
P15,Pink,RK09,3/31/93,0.1,3.1
S01,coastrange sculpin,RK17,11/10/92,15.1,9.5
S02,coastrange sculpin,RK06,11/9/92,0.9,4.4
S03,coastrange sculpin,RK04,11/1/92,17.4,10.2
S04,coastrange sculpin,RK05,14-Jun,2.4,6.4
S05,coastrange sculpin,RK05,6/12/92,9.4,9.2
S06,coastrange sculpin,RK17,6/29/92,10.4,9.2
S07,coastrange sculpin,RK16,6/21/92,8.6,9.2
S08,coastrange sculpin,RK16,6/21/92,9.6,9.4
S09,coastrange sculpin,RT03,6/23/92,9.7,9.2
S10,coastrange sculpin,RT03,6/23/92,11.8,10
S11,coastrange sculpin,RT12,7/1/92,11.1,9.4
S12,coastrange sculpin,RT12,7/1/92,3.1,6.6
S13,coastrange sculpin,RT12,7/1/92,7.5,9.1
S14,coastrange sculpin,RT02,6/18/92,5.6,8.6
S15,coastrange sculpin,RT02,6/18/92,6.8,9
S16,coastrange sculpin,RT02,6/18/92,4.7,8
S17,coastrange sculpin,RK14,4/6/93,4.4,7.3
S18,coastrange sculpin,RK14,4/6/93,10.8,9.1
S19,coastrange sculpin,RK14,4/4/93,7,8.8
S20,coastrange sculpin,RT02R,4/20/93,3.7,6.7
S21,coastrange sculpin,RW04,6/12/93,5.4,8.5
S22,coastrange sculpin,RW04,6/12/93,6.8,8.9
S23,coastrange sculpin,RW04,6/12/93,3.1,7.5
S24,coastrange sculpin,RW04,6/12/93,8.9,9.3
S25,coastrange sculpin,RW04,6/12/93,8.9,9.4
S26,coastrange sculpin,RT19,6/17/93,8.3,8.8
S27,coastrange sculpin,RT19,6/17/93,10.9,10.3
S28,coastrange sculpin,RK09,6/27/93,14.5,10.1
S29,coastrange sculpin,RK09,6/28/93,4.9,7.2
S30,coastrange sculpin,RK09,6/28/93,3,6.7
S31,coastrange sculpin,RT02R,5/17/93,1.6,6.3
S32,coastrange sculpin,RK07,5/21/93,4,6.9
S33,coastrange sculpin,RK07,5/21/93,9.8,9.1
S34,coastrange sculpin,RT03,5/19/93,4.7,8.4
S35,coastrange sculpin,RT03,5/19/93,4.8,8.6
S36,coastrange sculpin,RT02R,5/18/93,2.6,6.8
S37,coastrange sculpin,RK14,11/6/93,11.2,9.7
S38,coastrange sculpin,RK14,11/6/93,11.8,9.3
S39,coastrange sculpin,RK14,11/6/93,10.3,9.1
S40,coastrange sculpin,RP06,11/12/93,2.6,6.2
S41,coastrange sculpin,RP06,11/12/93,1.4,5.5
S42,coastrange sculpin,RP08,11/14/93,8.1,8.4
S43,coastrange sculpin,RP08,11/14/93,4.4,9.6
S44,coastrange sculpin,RP08,11/14/93,9,8.6
S45,coastrange sculpin,RT02-R,11/7/93,8.3,9
S46,coastrange sculpin,RT02-R,11/7/93,4.3,7.7
S47,coastrange sculpin,RK02,4/21/93,5.6,8.1
S48,coastrange sculpin,RT02-R,4/21/93,6.2,8.2
S49,coastrange sculpin,RT03,4/9/93,3.7,7.5
S50,coastrange sculpin,RT03,4/22/93,8.5,9.1
S51,coastrange sculpin,RK02,4/19/93,0.7,4.4
S52,coastrange sculpin,RT03,4/20/93,5.3,7.7
S53,coastrange sculpin,RK32,10/25/93,14.9,9.1
S54,coastrange sculpin,RK32,10/25/93,9.2,8.7
S55,coastrange sculpin,RK32,10/25/93,5.6,7.7
S56,coastrange sculpin,RK09,10/22/93,15,9.6
S57,coastrange sculpin,RK09,10/22/93,6.3,7.8
S58,coastrange sculpin,RK09,10/22/93,3.7,7.6
