"","Fish.code","Species","Site","Date","Weight..g.","Fork.length..cm.","del13C","Std..error","del15N","Std..error.1"
"195","CH07","Chum","BP01R","5/16/93",0.2,3.6,-20.92,0.04,13.76,0.1
"196","CH08","Chum","RK11","11/4/93",0.3,3.5,-23.36,0.09,12.12,0.09
"197","CH09","Chum","BP02-R","4/19/93",0.3,3.8,-20.51,0.14,13.2,0.16
"198","CH10","Chum","BP02-R","4/19/93",0.3,4.1,-21.15,0.03,12.46,0.04
"199","D01","Dolly varden","RK17","11/9/92",11.2,9.6,-22.61,0,13.3,0.04
"200","D02","Dolly varden","RK17","11/9/92",1.2,5.2,-24.14,0.05,11.58,0.14
"201","D03","Dolly varden","RK13","11/12/92",2.9,6.6,-23.46,0.09,12.28,0.06
"202","D04","Dolly varden","RK13","11/12/92",6.4,8.1,-23.16,0.16,13.08,0.14
"203","D05","Dolly varden","RT16","11/17/92",2.2,6.2,-24.05,0,11.9,0.07
"204","D06","Dolly varden","RT16","11/17/92",1.9,6.6,-23.49,0.01,12.49,0.14
"205","D07","Dolly varden","RK17","11/11/92",1.2,4.9,-24.29,0.06,11.8,0.14
"206","D08","Dolly varden","RK06","11/9/92",18.3,11.8,-26.72,0.01,10.22,0
"207","D09","Dolly varden","RK06","11/9/92",12.3,10.2,-25.52,0.15,9.72,0.07
"208","D10","Dolly varden","BA","8/7/92",7.4,8.5,-22.95,0.06,12.7,0.1
"209","D100","Dolly varden","RK09","10/22/93",4.8,8.2,-30.05,0.04,8.82,0.13
"210","D11","Dolly varden","BA","8/7/92",4.4,7.8,-21.33,0.01,12.74,0.05
"211","D12","Dolly varden","BA","8/7/92",9.6,9.7,-23.1,0.04,12.01,0.02
"212","D13","Dolly varden","RK11","6/21/92",7,9.4,-22.43,0.06,12.44,0.12
"213","D14","Dolly varden","RK11","6/21/92",12.7,10.6,-22.23,0.01,13.3,0.07
"214","D15","Dolly varden","RK11","6/21/92",2.4,6.5,-23.78,0.02,10.08,0.01
"215","D16","Dolly varden","RK05","6/12/92",16.5,11.6,-21.72,0.16,13.78,0.09
"216","D17","Dolly varden","RK17","6/29/92",6.6,8.7,-21.74,0.09,14.28,0.13
"217","D18","Dolly varden","RK17","6/29/92",7.7,9.3,-22.26,0.03,12.92,0.1
"218","D19","Dolly varden","RK17","6/29/92",3.3,7.5,-23.78,0.1,11.07,0.13
"219","D20","Dolly varden","RK16","6/21/92",8.6,9.6,-26.53,0.08,10.4,0.06
"220","D21","Dolly varden","RK16","6/21/92",6.8,8.6,-24.06,0.05,11.16,0.05
"221","D22","Dolly varden","RK16","6/21/92",1.4,5.6,-23.47,0.03,11.54,0.06
"222","D23","Dolly varden","RK16","6/21/92",2,6.1,-27.8,0.09,9.47,0.09
"223","D24","Dolly varden","RT03","6/23/92",7.5,8.9,-23.52,0.07,11.75,0.11
"224","D25","Dolly varden","RT03","6/23/92",9.3,9.7,-22.63,0.01,12.87,0.09
"225","D26","Dolly varden","RT03","6/23/92",21,12.3,-23.89,0.08,12.13,0.05
"226","D27","Dolly varden","RT12","7/1/92",14.6,11.4,-21.31,0.05,13.99,0.13
"227","D28","Dolly varden","RT12","7/1/92",11.2,10.8,-22.52,0.12,12.87,0.01
"228","D29","Dolly varden","RT12","7/1/92",4.7,7.9,-25.13,0.08,10.13,0.17
"229","D30","Dolly varden","RT12","7/1/92",3,7,-21.77,0.18,12.78,0.11
"230","D31","Dolly varden","RT02","6/18/92",6.6,8.9,-24.52,0.11,10.4,0.1
"231","D32","Dolly varden","RP02","4/7/93",5.2,8.4,-24.29,0.13,12.82,0
"232","D33","Dolly varden","RP02","4/7/93",1.6,5.8,-23.85,0.07,11.45,0.1
"233","D34","Dolly varden","RP02","4/7/93",19.9,13.1,-23.61,0.11,12.9,0.04
"234","D35","Dolly varden","RP02","4/7/93",13.2,11.1,-23.22,0.04,12.64,0.09
"235","D36","Dolly varden","BP02","3/30/93",6.7,9.2,-25.96,0.01,9.77,0.15
"236","D37","Dolly varden","BP02","3/30/93",6.2,8.6,-27.33,0.04,9.61,0.01
"237","D38","Dolly varden","RW04","6/12/93",2.6,6.8,-25.81,0.11,9.5,0.14
"238","D39","Dolly varden","RW04","6/12/93",9.9,10.2,-22.42,0.12,12.77,0.12
"239","D40","Dolly varden","RW04","6/12/93",32.7,15.5,-21.93,0.02,12.75,0.01
"240","D41","Dolly varden","RT19","6/17/93",7.9,9.6,-22.62,0.13,14.25,0.04
"241","D42","Dolly varden","RT19","6/17/93",9.6,10.3,-22.73,0.11,14.42,0.15
"242","D43","Dolly varden","RK09","6/27/93",21.9,13.5,-20.39,0.02,12.46,0.11
"243","D44","Dolly varden","RK09","6/27/93",13.6,12,-23.97,0.04,9.31,0.04
"244","D46","Dolly varden","RK09","6/27/93",7.3,8.9,-27.23,0.07,9.72,0.09
"245","D47","Dolly varden","RK09","6/27/93",5.7,9.2,-28.34,0.16,11.21,0.18
"246","D48","Dolly varden","RK09","6/28/93",6.4,9.1,-25.2,0.03,8.54,0.06
"247","D49","Dolly varden","RK09","7/8/93",69.3,18,-19.34,0.06,12.97,0.17
