gene_id,ERR188044,ERR188104,ERR188234,ERR188245,ERR188257,ERR188273,ERR188337,ERR188383,ERR188401,ERR188428,ERR188454,ERR204916
NM_001183|ATP6AP1,4044,2777,4131,2995,2658,1520,3216,2315,3216,2034,3234,2660
NM_001168683|TXLNG,10,0,1,1,1,1,1,4,1,1,1,1
NM_006306|SMC1A,15065,14484,24823,8612,9823,9722,14925,10447,14925,15380,10033,16937
NR_031567|MIR1468,0,0,0,0,0,0,0,0,0,0,0,0
NR_015378|ZNF674-AS1,145,200,205,90,120,85,178,130,178,78,150,156
NR_033700|FMR1,259,492,616,278,403,138,223,412,223,204,431,266
NM_005300|GPR34,0,0,0,0,45,0,0,0,0,0,0,0
NR_024493|SMIM10L2B,5,0,5,0,0,4,3,0,3,0,0,14
NM_181332|NLGN4X,0,0,0,0,0,0,0,0,0,0,0,0
NM_004538|NAP1L3,8,6,15,2,12,4,13,9,13,5,22,12
NM_001163438|SMIM10,23,10,44,15,10,26,2,18,2,48,46,52
NM_001522|GUCY2F,2,0,0,0,0,0,0,0,0,0,0,0
NM_183353|RLIM,1698,2496,12,8,925,918,1838,12,1838,847,1,19
NM_001278741|TSPAN6,0,0,0,0,0,0,0,0,0,0,0,0
NR_003238|H2BFXP,67,71,105,68,94,19,109,52,109,42,51,32
NR_027783|SAT1,869,806,1048,889,1158,270,1186,1110,1186,658,1208,778
NM_032621|BEX2,84,59,106,56,39,0,66,52,66,28,73,120
NR_046657|ZFX-AS1,0,0,3,0,0,2,0,0,0,0,0,6
NM_001306177|ARHGEF6,0,222,625,591,428,0,452,579,452,708,182,166
NM_022977|ACSL4,213,267,124,32,44,46,223,88,223,174,102,403
NM_139250|CTAG1A,0,0,0,0,0,0,0,0,0,0,0,0
NR_130179|LOC100421746,0,0,0,0,0,0,0,0,0,0,0,0
NM_001282849|RGN,0,0,0,0,0,0,0,0,0,0,0,0
NR_110506|UBE2E4P,403,418,367,240,242,101,366,249,366,223,353,306
NM_001018109|PIR,707,1160,917,505,749,238,1304,652,1304,595,911,990
NM_138270|ATRX,2318,2605,2094,4,1128,731,3023,1717,3023,1513,2618,641
NM_001139467|TBL1X,670,0,1085,0,316,0,0,449,0,0,879,0
NR_024501|FMR1-AS1,0,0,0,0,0,0,0,0,0,0,0,0
NM_001291535|CT45A8,0,0,0,0,0,0,0,0,0,0,0,0
NM_001649|SHROOM2,0,0,0,29,0,0,0,5,0,14,0,0
NM_001137554|MCTS1,1107,150,98,684,106,372,308,886,308,256,1006,582
NM_001256743|GRIA3,17,0,3,0,0,7,0,0,0,0,0,0
NM_002814|PSMD10,2567,3280,3343,1646,2339,1123,3606,2646,3606,1904,2678,2607
NM_001271680|CYLC1,0,0,0,0,0,0,0,0,0,0,0,0
NM_005342|HMGB3,2185,2107,3105,2022,2478,1079,2163,2415,2163,1767,2432,1572
NM_001184767|BEND2,0,0,0,0,0,0,0,0,0,0,0,0
NR_033924|CXXC1P1,0,0,0,0,0,0,0,0,0,0,0,0
NM_001256760|HTR2C,0,0,0,0,0,0,0,0,0,0,0,0
NM_139282|RHOXF1,0,0,0,3,0,0,0,0,0,0,0,0
NM_013444|UBQLN2,2574,2792,2776,2224,2681,1185,3894,2630,3894,2026,2555,2606
NM_002183|IL3RA,1209,1147,315,374,756,421,1082,554,1082,363,1134,990
NM_003886|AKAP4,0,0,0,0,0,0,0,2,0,0,0,0
NM_024003|L1CAM,0,0,0,0,0,0,0,28,0,0,0,0
NM_012216|MID2,11,24,9,7,6,6,8,16,8,12,4,19
NR_126564|GS1-594A7.3,0,0,0,0,0,0,0,0,0,0,0,0
NM_024859|MAGIX,13,26,9,20,2,5,7,0,7,9,2,39
NM_007052|NOX1,10,10,0,8,11,6,17,8,17,4,9,7
NM_001144002|CTPS2,3,280,281,113,151,2,0,126,0,0,1,4
NM_001282198|SLC25A14,200,159,236,151,235,71,224,138,224,87,218,124
NR_130172|LOC100101478,171,167,178,141,156,31,165,97,165,143,91,76
NM_007150|ZNF185,0,0,0,0,0,0,0,0,0,0,0,0
NR_024062|UBE2DNL,0,0,0,0,0,0,0,0,0,0,0,0
NM_001198719|RBBP7,904,741,941,410,405,416,1099,686,1099,236,895,495
NM_001122608|HCCS,119,296,176,244,202,199,285,173,285,0,170,45
NM_001171942|GLRA2,0,0,0,0,0,0,0,0,0,0,0,0
NM_001282400|ZMAT1,85,316,169,32,141,77,77,80,77,78,245,84
NM_001178085|ZFX,339,1657,950,1310,6,1,205,483,205,939,74,264
NM_198057|TSC22D3,45,77,49,211,282,0,160,200,160,445,211,145
NM_004010|DMD,0,0,0,0,4,0,0,0,0,0,0,0
NR_125730|RNU6-2,0,0,0,0,0,0,0,0,0,0,0,0
NM_001123385|BCOR,604,1168,988,629,391,382,704,578,704,770,1513,778
NM_004586|RPS6KA3,5010,5380,4448,2148,3158,1958,5019,3835,5019,3267,3772,4168
NM_001002254|AWAT2,0,0,0,0,0,0,0,0,0,0,0,0
NM_001011543|MAGEA10,0,0,0,0,0,0,0,0,0,0,0,0
NM_012274|HYPM,0,0,0,0,0,0,0,0,0,0,0,0
NM_001136158|OTUD5,1001,779,1262,629,1091,343,1065,709,1065,321,783,964
NM_000167|GK,0,0,327,141,217,0,202,0,202,205,0,0
NR_046803|ARHGEF9-IT1,1,1,0,0,0,0,1,0,1,0,0,0
NM_001170701|MBNL3,0,0,0,0,0,530,0,0,0,696,0,0
