wormbase_ID,WT,nekl-2(fd90),nekl-3(gk506)
WBGene00000647,108,41,50
WBGene00000648,2,3,1
WBGene00000649,7859,256,356
WBGene00000650,3,5,9
WBGene00000651,41,2,1
WBGene00000652,482,541,447
WBGene00000653,21,37,41
WBGene00000654,0,4,1
WBGene00000655,73,1,6
WBGene00000656,84,35,63
WBGene00000657,1,6,7
WBGene00000658,11,1,1
WBGene00000659,1,2,2
WBGene00000660,0,0,0
WBGene00000661,2,2,2
WBGene00000662,4,3,2
WBGene00000663,4,1,0
WBGene00000664,71,68,74
WBGene00000665,8241,271,269
WBGene00000666,2,60,123
WBGene00000667,1,11,6
WBGene00000668,1,10,8
WBGene00000669,79,515,656
WBGene00000670,3,15,9
WBGene00000671,2,81,96
WBGene00000672,146,101,97
WBGene00000673,3428,21322,25510
WBGene00000674,580,419,431
WBGene00000675,4,221,368
WBGene00000676,1,0,2
WBGene00000677,3101,22057,25041
WBGene00000678,46,44,44
WBGene00000679,71,10,10
WBGene00000680,0,2,0
WBGene00000681,1024,767,1436
WBGene00000682,0,0,3
WBGene00000683,118,69,71
WBGene00000684,26,3,2
WBGene00000685,833,46,79
WBGene00000687,97,62,64
WBGene00000688,0,0,1
WBGene00000689,4,24,27
WBGene00000690,0,1,3
WBGene00000691,393,809,1149
WBGene00000692,339,203,419
WBGene00000693,4,6,2
WBGene00000694,3,2,5
WBGene00000695,1,0,2
WBGene00000696,3,72,56
WBGene00000697,2,3,0
WBGene00000698,8,14,26
WBGene00000699,1686,289,384
WBGene00000700,0,1,0
WBGene00000701,3,0,0
WBGene00000702,1286,105,28
WBGene00000703,19,45,43
WBGene00000704,28,15,17
WBGene00000705,934,8,10
WBGene00000706,0,0,0
WBGene00000707,0,2,0
WBGene00000708,0,0,0
WBGene00000709,0,0,0
WBGene00000710,1,3,1
WBGene00000711,4,4,2
WBGene00000712,3,6,3
WBGene00000713,1,22,16
WBGene00000714,46,1622,1810
WBGene00000715,26,477,620
WBGene00000716,2,179,119
WBGene00000717,1716,2305,3673
WBGene00000718,7,5,7
WBGene00000719,2,6,0
WBGene00000720,638,2297,3950
WBGene00000721,0,0,0
WBGene00000722,6438,5514,4325
WBGene00000723,7,95,139
WBGene00000724,2,2,5
WBGene00000725,0,3,9
WBGene00000726,829,100,65
WBGene00000727,180,774,729
WBGene00000728,120,441,407
WBGene00000729,32,5,8
WBGene00000730,41,14,5
WBGene00000731,14,152,42
WBGene00000732,6,22,34
WBGene00000733,431,2962,5686
WBGene00000734,1,25,20
WBGene00000735,0,6,19
WBGene00000736,7,8,5
WBGene00000737,0,1,2
WBGene00000738,1,2,0
WBGene00000739,4416,7853,11328
WBGene00000740,1581,3867,4597
WBGene00000741,463,593,820
WBGene00000742,833,1429,1454
WBGene00000743,194,409,309
WBGene00000744,0,0,0
WBGene00000745,721,34,29
WBGene00000746,501,67,79
WBGene00000747,50,13,16
WBGene00000748,0,0,0
WBGene00000749,372,11585,14299
WBGene00000750,21,17,16
WBGene00000751,9,39,19
WBGene00000752,2,0,0
WBGene00000753,36,34,35
WBGene00000754,3,74,66
WBGene00000755,7,22,2
WBGene00000756,0,1,0
WBGene00000757,3,49,43
WBGene00000758,0,0,0
WBGene00000759,105,45,40
WBGene00000760,1,11,7
WBGene00000761,460,671,831
WBGene00000762,348,334,407
WBGene00000763,417,430,479
WBGene00000764,147,190,255
WBGene00000765,593,373,390
WBGene00000766,574,596,785
WBGene00000767,1101,801,898
WBGene00000768,713,839,949
WBGene00000770,13,8,2
WBGene00000771,3,11,5
WBGene00000772,47,45,43
WBGene00000773,359,291,321
WBGene00000774,558,566,679
WBGene00000775,99,202,228
WBGene00000776,32073,25359,22907
WBGene00000777,490,1810,2235
WBGene00000778,469,154,94
WBGene00000779,3633,6785,10201
WBGene00000780,623,380,343
WBGene00000781,21468,25403,18294
WBGene00000782,80,25,34
WBGene00000783,110,174,197
WBGene00000784,11631,14474,11187
WBGene00000785,23321,22780,21566
WBGene00000786,22419,13256,12081
WBGene00000787,800,866,1048
WBGene00000788,13469,4887,4848
WBGene00000789,5949,5277,4791
WBGene00000792,599,251,286
WBGene00000793,787,1443,1783
WBGene00000794,810,448,474
WBGene00000795,281,287,371
WBGene00000796,671,713,832
WBGene00000797,10,83,128
WBGene00000798,141,167,173
WBGene00000799,302,415,310
WBGene00000800,3108,2356,2426
WBGene00000801,387,330,285
WBGene00000802,50395,36787,35596
WBGene00000803,171,148,203
WBGene00000804,426,271,255
WBGene00000812,721,974,1104
WBGene00000813,582,600,713
WBGene00000814,591,706,834
WBGene00000815,401,446,490
WBGene00000816,613,661,832
WBGene00000817,404,433,425
WBGene00000818,651,821,821
WBGene00000819,6,9,10
WBGene00000820,30,42,33
WBGene00000821,2,4,0
WBGene00000822,2771,5378,5794
WBGene00000829,7216,13505,14811
WBGene00000830,268,431,548
WBGene00000831,1851,2788,3420
WBGene00000832,1591,1795,1979
WBGene00000833,16799,13617,14317
WBGene00000834,1378,1580,1924
WBGene00000835,474,545,563
WBGene00000836,1516,1647,1891
WBGene00000837,1829,1783,1946
WBGene00000838,1608,1886,2027
WBGene00000839,611,706,905
WBGene00000840,980,872,1063
WBGene00000841,74,237,278
WBGene00000843,1343,1041,1160
WBGene00000845,143,138,262
WBGene00000846,436,438,442
WBGene00000851,0,0,0
WBGene00000853,95,122,190
WBGene00000854,387,410,437
WBGene00000857,500,492,496
WBGene00000858,305,271,304
WBGene00000859,0,0,0
WBGene00000860,0,1,1
WBGene00000861,0,0,0
WBGene00000862,42,103,56
WBGene00000863,449,381,460
WBGene00000864,3,1,2
WBGene00000865,525,297,249
WBGene00000866,12,17,17
WBGene00000867,11,13,30
WBGene00000868,1473,757,626
WBGene00000869,7442,8428,8730
WBGene00000870,934,711,542
WBGene00000871,295,301,298
WBGene00000872,622,1206,1617
WBGene00000874,1610,1571,1758
WBGene00000875,1063,703,705
WBGene00000876,806,978,1163
WBGene00000877,1776,1398,1598
WBGene00000878,0,7,19
WBGene00000879,5605,5588,5954
WBGene00000880,467,521,630
WBGene00000881,17297,20442,17924
WBGene00000882,2624,1634,857
WBGene00000883,13905,9784,10585
WBGene00000884,541,537,538
WBGene00000885,29,34,36
WBGene00000886,136,106,114
WBGene00000887,174,141,161
WBGene00000888,284,193,212
WBGene00000889,819,773,857
WBGene00000890,304,320,350
WBGene00000891,680,541,579
WBGene00000892,389,488,560
WBGene00000893,986,36,26
WBGene00000894,1240,4641,6376
WBGene00000895,84,190,222
WBGene00000896,1452,1206,1195
WBGene00000897,642,906,1057
WBGene00000898,1719,2736,3333
WBGene00000899,706,1360,1935
WBGene00000900,690,1495,1552
WBGene00000901,1949,3883,4349
WBGene00000902,602,214,207
